Qa,Qb,Ta,Tb,Ca0,Cb0,Ca,Cb,Cc,T,V,Qout
8.64583261580847,6.64557118883362,389.561403053589,416.278636195275,15,15,4.21208489258242,3.24811011785233,3.76990249478261,416.17437389378,288.788090275183,15.3403294167897
8.66210576332458,6.60903119243741,390.427081628232,416.839010521846,15,15,4.23604291012182,3.21925025900323,3.77235341543746,416.61472817692,288.729184569493,15.3387648110378
8.67801270331611,6.57233029426282,391.316687513325,417.357296091699,15,15,4.25999550114951,3.19035514403386,3.7748246774083,417.0758199438,288.651580383972,15.3367033077161
8.6935518451023,6.53547216436906,392.227997157453,417.832197460828,15,15,4.28394865758646,3.16143020692904,3.77731056774224,417.557136689937,288.55524908667,15.3341439456513
8.70872163478194,6.49846048853843,393.158732761107,418.262527623135,15,15,4.30790858572561,3.13248109970205,3.77980515728616,418.058155240239,288.440165094587,15.3310857956165
8.72352055538868,6.46129896790765,394.106567969995,418.647210977323,15,15,4.33188169166115,3.10351367811673,3.78230231511105,418.578342647865,288.30630589399,15.3275279605967
8.73794712704281,6.42399131859783,395.069133689718,418.985286015349,15,15,4.35587456623044,3.07453398692836,3.78479572342059,419.117157111083,288.153652060236,15.3234695760552
8.75199990709919,6.38654127134281,396.044024007271,419.275907725681,15,15,4.37989396951681,3.0455482446917,3.78727889289574,419.674048907844,287.98218727712,15.3189098102037
8.76567749029151,6.34895257111609,397.028802204573,419.518349705399,15,15,4.40394681496261,3.01656282818578,3.78974517842579,420.248461347759,287.791898355712,15.3138478642754
8.77897850887285,6.31122897675639,398.021006848994,419.712005975812,15,15,4.42804015314287,2.98758425650625,3.79218779517543,420.839831741162,287.582775252696,15.3082829727996
8.79190163275245,6.2733742605917,399.018157945653,419.856392497101,15,15,4.45218115525059,2.95861917487643,3.79459983493649,421.447592384918,287.354811088202,15.3022144038808
8.80444556962867,6.23539220806209,400.017763136114,419.951148378156,15,15,4.47637709634551,2.92967433822927,3.7969742827126,422.071171564589,287.108002163101,15.2956414594792
8.8166090651183,6.19728661734117,401.017323927986,419.996036778623,15,15,4.50063533841824,2.90075659461244,3.79930403348465,422.70999457254,286.842347975784,15.2885634756955
8.82839090288191,6.15906129895625,402.01434193985,419.990945500877,15,15,4.52496331332191,2.87187286846893,3.80158190910457,423.363484741526,286.557851238398,15.2809798230572
8.83978990474554,6.12072007540731,403.006325145913,419.935887270463,15,15,4.54936850562342,2.84303014384565,3.80380067526546,424.031064493227,286.254517892541,15.2728899068095
8.85080493081852,6.08226678078476,403.990794104776,419.830999704282,15,15,4.57385843542603,2.81423544758198,3.80595305849599,424.71215640115,285.932357124395,15.2642931672081
8.86143487960741,6.04370526038602,404.965288156742,419.676544966626,15,15,4.59844064121454,2.78549583252998,3.80803176312774,425.406184267251,285.59138137931,15.2551890798152
8.87167868812619,6.00503937033099,405.927371574188,419.472909113899,15,15,4.62312266277353,2.75681836085695,3.81002948818475,426.11257421155,285.231606375805,15.2455771557998
8.88153533200254,5.96627297717646,406.874639649614,419.220601129683,15,15,4.6479120242285,2.72821008748054,3.81193894414547,426.830755773933,284.853051119002,15.2354569422396
8.8910038255803,5.92740995752944,407.804724706159,418.920251652538,15,15,4.67281621725818,2.69967804368528,3.81375286952826,427.560163027254,284.455737913472,15.2248280224271
8.90008322201799,5.8884541976595,408.715302015561,418.572611399738,15,15,4.69784268452577,2.67122922096813,3.81546404725305,428.30023570077,284.039692375477,15.2136900161794
8.90877261338354,5.84940959311017,409.604095608765,418.178549290868,15,15,4.72299880337461,2.64287055515951,3.81706532073293,429.050420312832,283.604943444626,15.2020425801499
8.91707113074504,5.81028004830937,410.468883964664,417.739050275976,15,15,4.74829186983295,2.61460891086454,3.81854960965125,429.810171311678,283.151523394908,15.189885408145
8.92497794425769,5.77106947617897,411.30750556274,417.255212873713,15,15,4.77372908297042,2.58645106626739,3.81990992538109,430.578952223078,282.679467845111,15.1772182314433
8.93249226324672,5.7317817977435,412.117864285745,416.728246425607,15,15,4.79931752964692,2.55840369834022,3.82113938600642,431.35623680346,282.188815768617,15.1640408191186
8.93961333628649,5.69242094173808,412.897934658897,416.159468073339,15,15,4.82506416969298,2.53047336849585,3.82223123090558,432.141510197089,281.679609502551,15.1503529783663
8.94634045127563,5.6529908442155,413.645766912517,415.550299466576,15,15,4.85097582155829,2.50266650872152,3.82317883486009,432.934270095723,281.151894756304,15.1361545548334
8.95267293550825,5.61349544815266,414.359491855433,414.902263209587,15,15,4.87705914846329,2.47498940822877,3.82397572165397,433.734027899125,280.605720619387,15.1214454329527
8.9586101557412,5.57393870305624,415.037325546989,414.216979055521,15,15,4.903320645086,2.44744820065249,3.82461557713075,434.540309874663,280.041139568632,15.1062255362797
8.96415151825741,5.5343245645678,415.677573755966,413.496159857877,15,15,4.92976662481459,2.42004885182967,3.82509226167787,435.352658314182,279.458207474729,15.0904948278339
8.96929646892524,5.49465699406817,416.278636195275,412.741607289252,15,15,4.95640320759324,2.39279714818621,3.82539982211028,436.170632686204,278.856983608082,15.0742533104443
8.97404449325391,5.45493995828135,416.839010521846,411.955207338105,15,15,4.98323630838699,2.36569868575776,3.82553250292762,436.993810781453,278.237530643974,15.0575010270973
8.97839511644495,5.41517742887781,417.357296091699,411.138925594764,15,15,5.01027162628843,2.33875885986806,3.82548475692176,437.821789849604,277.59991466705,15.0402380612903
8.98234790343967,5.37537338207737,417.832197460828,410.294802338476,15,15,5.03751463428692,2.31198285548592,3.82525125511358,438.65418772508,276.944205175089,15.0224645373877
8.98590245896265,5.33553179825153,418.262527623135,409.424947437772,15,15,5.06497056971853,2.28537563827961,3.82482689600093,439.49064393965,276.270475082073,15.0041806209819
8.98905842756131,5.29565666152547,418.647210977323,408.531535076891,15,15,5.09264442541239,2.25894194638483,3.82420681410139,440.330820819525,275.578800720527,14.9853865192581
8.99181549364142,5.25575195937964,418.985286015349,407.616798321456,15,15,5.12054094154684,2.23268628290024,3.82338638777646,441.174404564571,274.869261843143,14.9660824813625
8.99417338149867,5.215821682251,419.275907725681,406.683023536968,15,15,5.14866459822623,2.20661290912207,3.82236124632585,442.021106307219,274.141941623662,14.946268798776
8.99613185534623,5.17586982313398,419.518349705399,405.73254467409,15,15,5.17701960878719,2.18072583852688,3.82112727634296,442.870663148614,273.396926657013,14.9259458056906
8.99769071933836,5.13590037718121,419.712005975812,404.767737434978,15,15,5.20560991384036,2.15502883150958,3.81968062732503,443.722839169491,272.634306958699,14.9051138793912
8.99884981758996,5.09591734130396,419.856392497101,403.791013335268,15,15,5.23443917605187,2.12952539088117,3.81801771653347,444.57742641326,271.854175963422,14.8837734406411
8.99960903419215,5.05592471377252,419.951148378156,402.804813676541,15,15,5.26351077566646,2.10421875812893,3.8161352331023,445.434245838745,271.056630522943,14.8619249540719
8.99996829322393,5.01592649381631,419.996036778623,401.811603444342,15,15,5.29282780677178,2.07911191043922,3.81403014139449,446.293148240027,270.241770903152,14.839568928578
8.99992755875967,4.97592668122398,419.990945500877,400.813865146997,15,15,5.32239307430185,2.05420755848156,3.81169968360829,447.154015130836,269.409700780368,14.816705917715
8.99948683487281,4.93592927594347,419.935887270463,399.814092610637,15,15,5.35220909177526,2.02950814495025,3.80914138163724,448.016759590946,268.560527236826,14.7933365201034
8.99864616563535,4.89593827768198,419.830999704282,398.814784745932,15,15,5.38227807976216,2.00501584385817,3.80635303818983,448.881327072047,267.694360755379,14.7694613798359
