,Ca_pred,Cb_pred,Cc_pred,Qout_pred,index,Ca,Cb,Cc,Qout
101,0.40579298,0.60061586,0.9660947,0.960901,3201,0.3832894401531534,0.5983566015564273,0.9802262857793161,0.9575966608414496
102,0.3985755,0.59609973,0.9652835,0.96343565,3202,0.3850907966030159,0.5910235296907732,0.9804531003939223,0.9558173549471851
103,0.388775,0.5804612,0.9530302,0.9730059,3203,0.38171701823348664,0.5731427017491953,0.9801844624223254,0.9538273629493423
104,0.38959807,0.5744899,0.9534526,0.9638448,3204,0.3790501262818871,0.5742469443926791,0.9727343491432203,0.9577251447535438
105,0.39678192,0.578347,0.95727926,0.9630147,3205,0.3793309942655078,0.5494967220373979,0.9714181700633633,0.9564404544979056
106,0.40106708,0.5646987,0.9587573,0.96828115,3206,0.38069995393945993,0.5472704769994025,0.9678377574263708,0.9571266688851978
107,0.39918044,0.57039195,0.94898516,0.9630976,3207,0.3585036188681486,0.5548901503257783,0.9675172723019468,0.9549239088694806
108,0.38331187,0.5791183,0.9526259,0.975744,3208,0.357520871838788,0.567113446715065,0.9608468133596885,0.9584835821483002
109,0.37688476,0.5671208,0.9494592,0.9626205,3209,0.3538990489773257,0.5456439215542874,0.9579009182277908,0.9589414048875115
110,0.369834,0.5527196,0.93883204,0.9623805,3210,0.35882473665820164,0.544568489566554,0.954120790143302,0.9599290832332428
111,0.36931717,0.5428279,0.9451755,0.96962917,3211,0.3501149525341554,0.5436005947942997,0.9523016665901899,0.9594258692290213
112,0.37738872,0.55555135,0.93827873,0.96521497,3212,0.3640873786546003,0.5306902419045358,0.9497136761856078,0.9597926716418512
113,0.39821637,0.53681254,0.93743306,0.9652437,3213,0.3556909286323419,0.5215361910822295,0.9491512341735256,0.9582216331143562
114,0.36868054,0.5350858,0.9290131,0.9606887,3214,0.3508332856547264,0.5218003282243876,0.9482693287333109,0.956685574587131
115,0.37755072,0.5346392,0.93479156,0.96216166,3215,0.35895067871844033,0.5189479240769823,0.9420488661138804,0.9604119808554324
116,0.37030822,0.5349752,0.93199307,0.9654262,3216,0.3509399521640904,0.5222513056109497,0.9421224097933929,0.9589593915612948
117,0.37591672,0.54618526,0.93537027,0.9690716,3217,0.3447083388219319,0.541354637578593,0.9390825153481365,0.9601578800978752
118,0.3535732,0.5375114,0.9304807,0.9734516,3218,0.33893689790010334,0.5433871233198765,0.9398300094630546,0.9585270180043659
119,0.35125044,0.5397232,0.93168974,0.96824324,3219,0.33237974238941065,0.5526719082642296,0.9391672128491265,0.9579251135388225
